n,m,r,q
51,50,1.3833657283758948e-15,-9.654849277917854e-16
51,51,3.5382335787871736e-16,2.4578242321406776e-15
52,0,8.192688226046884e-15,0.0
52,1,6.588259083454955e-14,4.945826487736793e-15
52,2,-5.031452819107144e-15,-1.9308514620665642e-14
52,3,2.2132294851378637e-14,-2.1667959051723374e-14
52,4,-1.7004406524817488e-16,9.103082826040837e-15
52,5,5.803821415911426e-15,5.024130218976959e-15
52,6,-2.1702752929295354e-15,-1.837312770748165e-15
52,7,2.4698871234490294e-15,1.5129927360380426e-15
52,8,3.631051714616948e-15,1.158509361240408e-14
52,9,-4.892935188797786e-15,1.0843376510683715e-15
52,10,1.3887202993737047e-14,-4.674227988862658e-15
52,11,1.2096859101399612e-15,1.2852119886962646e-14
52,12,-2.4141224884145484e-15,-4.024087995606674e-15
52,13,7.865860669773794e-15,-6.540735133052519e-17
52,14,-1.3726690920226942e-15,6.6629086168170625e-15
52,15,1.2244693960106886e-16,-6.21192594107885e-16
52,16,-1.7609935202383277e-15,4.162526087733871e-15
52,17,6.770733876462085e-17,5.892196798593856e-16
52,18,2.4303357889382432e-15,3.946637738491388e-15
52,19,-4.388087248670818e-15,7.247652114661479e-15
52,20,-1.677988607608741e-17,-4.7661682804592324e-15
52,21,5.47455830658627e-15,6.723245188951165e-15
52,22,-6.6583603151138e-15,2.197522952423318e-15
52,23,1.027333624787522e-15,-3.356317908205803e-15
52,24,-8.641593463843739e-17,3.401337795198421e-15
52,25,-1.8404675334312177e-15,1.7353852745051358e-15
52,26,7.121387329487423e-16,3.3698006924068765e-15
52,27,-4.634321086576394e-15,-1.508779677535386e-15
52,28,2.722050009975094e-15,-3.3101315358245984e-15
52,29,-2.407679218542718e-15,6.011075254943465e-15
52,30,-5.4882738598038565e-15,-2.1942071450294627e-15
52,31,1.9095573172664166e-15,-2.2225850318730404e-15
52,32,-1.2509163611393834e-15,5.251934088292177e-15
52,33,-4.77192206312334e-15,-6.493221073812373e-16
52,34,9.99760752336042e-16,1.3770066602920094e-15
52,35,-2.269509108457916e-15,-1.112495906581099e-15
52,36,5.055517365203229e-16,3.3517928265527937e-16
52,37,-5.039055866803973e-15,6.976183958890597e-16
52,38,3.408456429118157e-16,-9.283638578569616e-16
52,39,7.185125126414723e-16,2.0666649221759583e-15
52,40,-1.7594883590254628e-15,-2.777219750578454e-16
52,41,2.327222631134772e-16,-2.0760714835459786e-15
52,42,-5.766050238267772e-16,5.568269058313011e-16
52,43,5.500845315713582e-17,-6.83302743314407e-16
52,44,9.621747405418896e-18,1.6076476450660354e-15
52,45,-1.3077902936262696e-15,-1.0618706253605234e-15
52,46,1.4786149229507345e-15,-4.907513981399918e-16
52,47,-7.064197955538375e-16,8.201787805419709e-16
52,48,9.371926550334949e-16,-1.336988654022753e-15
52,49,-2.929250075541436e-16,-7.067520714279217e-16
52,50,1.357642935115903e-15,-9.475323584286692e-16
52,51,3.472442408031805e-16,2.4121225761751383e-15
52,52,-4.989742869953746e-16,-1.874913574468006e-15
53,0,8.043162326730184e-15,0.0
53,1,6.468015844947105e-14,4.8555595163790855e-15
53,2,-4.939623069592856e-15,-1.8956112218247143e-14
53,3,2.172835524080327e-14,-2.127249409880771e-14
53,4,-1.6694056721698353e-16,8.93694118747699e-15
53,5,5.697895059049874e-15,4.932434115262388e-15
53,6,-2.130665294845099e-15,-1.803779718251581e-15
53,7,2.4248088679174315e-15,1.4853788938810242e-15
53,8,3.564780881635975e-15,1.1373652447640176e-14
53,9,-4.803633543938741e-15,1.0645472528540861e-15
53,10,1.3633745708492099e-14,-4.5889179997160045e-15
53,11,1.1876077633078442e-15,1.2617554048351282e-14
53,12,-2.370062001040793e-15,-3.95064380245898e-15
53,13,7.722299745923613e-15,-6.421359260814071e-17
53,14,-1.3476163163298046e-15,6.541302939229197e-15
53,15,1.202121433709111e-16,-6.098551211417407e-16
53,16,-1.7288533810630854e-15,4.086555241593427e-15
53,17,6.64716026497113e-17,5.784657490255519e-16
53,18,2.385979390347704e-15,3.8746071008248675e-15
53,19,-4.307999654216581e-15,7.115374201664142e-15
53,20,-1.6473634027097942e-17,-4.67918027618432e-15
53,21,5.374641376810828e-15,6.6005383001416456e-15
53,22,-6.53683764921682e-15,2.157415653492362e-15
53,23,1.0085836150341593e-15,-3.2950612803725022e-15
53,24,-8.483874532211205e-17,3.3392595031074346e-15
53,25,-1.8068769029194204e-15,1.703712515006445e-15
53,26,6.991413892754074e-16,3.308297988392311e-15
53,27,-4.549739443888028e-15,-1.4812427284986842e-15
53,28,2.6723694943132703e-15,-3.2497178619370514e-15
53,29,-2.363736328189079e-15,5.901366279262173e-15
53,30,-5.388106605547255e-15,-2.1541603633632736e-15
53,31,1.8747057194412644e-15,-2.182020321422804e-15
53,32,-1.2280857115761946e-15,5.156080304279352e-15
53,33,-4.6848290457558276e-15,-6.374712387318341e-16
53,34,9.815139789364007e-16,1.3518747190336274e-15
53,35,-2.228087980119269e-15,-1.0921915881049214e-15
53,36,4.963248410290496e-16,3.290618786617992e-16
53,37,-4.947087353002183e-15,6.848860649194096e-16
53,38,3.3462482138433036e-16,-9.114201591698991e-16
53,39,7.053988402230045e-16,2.028945931467612e-15
53,40,-1.727375690758152e-15,-2.726532324260302e-16
53,41,2.2847481652171906e-16,-2.0381808123696934e-15
53,42,-5.660813248455177e-16,5.466641800493712e-16
53,43,5.400448618055894e-17,-6.708316893232613e-16
53,44,9.446139547033738e-18,1.5783062429181273e-15
53,45,-1.2839216299621973e-15,-1.0424902759765178e-15
53,46,1.4516285150712804e-15,-4.817946256956903e-16
53,47,-6.935268290072179e-16,8.05209582840646e-16
53,48,9.20087820733642e-16,-1.3125870869970004e-15
53,49,-2.875787922486921e-16,-6.938530404678248e-16
53,50,1.332864403915513e-15,-9.302388127551895e-16
53,51,3.409066375701457e-16,2.3680985894795366e-15
53,52,-4.89867437455844e-16,-1.8406942644407907e-15
53,53,2.892678938863619e-15,-2.6055754404389838e-15
54,0,7.89902458945015e-15,0.0
54,1,6.352105568527123e-14,4.768545313073315e-15
54,2,-4.851102402802234e-15,-1.8616408627573087e-14
54,3,2.1338971583977417e-14,-2.0891279715565052e-14
54,4,-1.6394890365961213e-16,8.776786458697404e-15
54,5,5.595785755804665e-15,4.844042278348438e-15
54,6,-2.092482642049514e-15,-1.7714550284618008e-15
54,7,2.381355006194829e-15,1.4587601158344833e-15
54,8,3.500898116461569e-15,1.1169830559952522e-14
54,9,-4.717549881615433e-15,1.0454700011437574e-15
54,10,1.3389421750172546e-14,-4.50668215389147e-15
54,11,1.166325201943826e-15,1.2391440783859053e-14
54,12,-2.327589232225957e-15,-3.87984616897179e-15
54,13,7.583912036368569e-15,-6.3062850951417e-17
54,14,-1.3234663167815052e-15,6.4240793191873236e-15
54,15,1.180578779669316e-16,-5.989261937299589e-16
54,16,-1.697871410998001e-15,4.013322002990795e-15
54,17,6.528039625475074e-17,5.680993358199589e-16
54,18,2.3432213734693696e-15,3.805172085382492e-15
54,19,-4.230798014222529e-15,6.987862919948467e-15
54,20,-1.6178417763023045e-17,-4.595326882464644e-15
54,21,5.2783249510972e-15,6.482253150996907e-15
54,22,-6.419694049541631e-15,2.118753620073806e-15
54,23,9.90509261412623e-16,-3.2360120335888654e-15
54,24,-8.331838998329626e-17,3.2794182007170567e-15
54,25,-1.7744967099367635e-15,1.6731810826029745e-15
54,26,6.866124045557936e-16,3.2490115327764378e-15
54,27,-4.468205698575401e-15,-1.4546980727307956e-15
54,28,2.6244792147889613e-15,-3.1914811932748465e-15
54,29,-2.321376918788685e-15,5.795610663771649e-15
54,30,-5.291548875788876e-15,-2.1155566664713642e-15
54,31,1.8411099980708056e-15,-2.142917359297608e-15
54,32,-1.2060777638981704e-15,5.063680608972555e-15
54,33,-4.600874423087713e-15,-6.260474158373804e-16
54,34,9.63924727559184e-16,1.3276484066490055e-15
54,35,-2.1881594611028198e-15,-1.0726189352364658e-15
54,36,4.874304364856959e-16,3.2316491516800007e-16
54,37,-4.858432922291683e-15,6.72612543177341e-16
54,38,3.286281670047736e-16,-8.950870262406321e-16
54,39,6.927577186616748e-16,1.9925861436446847e-15
54,40,-1.69642020168752e-15,-2.6776714180799443e-16
54,41,2.2438042656150804e-16,-2.0016555305801885e-15
54,42,-5.559368470934584e-16,5.368676678364448e-16
54,43,5.3036697128836406e-17,-6.58810029450321e-16
54,44,9.276859713426998e-18,1.550022157461698e-15
54,45,-1.2609130729954155e-15,-1.0238082969971405e-15
54,46,1.4256145617238276e-15,-4.731606103220767e-16
54,47,-6.810984601871725e-16,7.907797998035513e-16
54,48,9.035993587093552e-16,-1.2890648298278291e-15
54,49,-2.8242522767786452e-16,-6.814188257652898e-16
54,50,1.3089787664662955e-15,-9.13568439566898e-16
54,51,3.3479740971087396e-16,2.3256610060418315e-15
54,52,-4.810887530113689e-16,-1.8077080463933065e-15
54,53,2.8408405971780656e-15,-2.5588821458066993e-15
54,54,5.139967163013979e-16,1.4411016365838591e-15
55,0,7.759987234927071e-15,0.0
55,1,6.240296832663849e-14,4.684610148959679e-15
55,2,-4.765714082134513e-15,-1.8288725610893354e-14
55,3,2.0963366454042516e-14,-2.0523554785561253e-14
55,4,-1.6106310154776194e-16,8.622298881577932e-15
55,5,5.497289639081072e-15,4.7587782288505996e-15
55,6,-2.0556511006811534e-15,-1.7402741632771438e-15
55,7,2.339438780147903e-15,1.4330832559775973e-15
55,8,3.4392758734801053e-15,1.0973221007223562e-14
55,9,-4.634512330846631e-15,1.0270678071074951e-15
55,10,1.3153743311948142e-14,-4.4273562627946984e-15
55,11,1.1457957341904973e-15,1.2173328645352961e-14
55,12,-2.2866193826451202e-15,-3.811553743599318e-15
55,13,7.450421242089901e-15,-6.195282883847422e-17
55,14,-1.3001708765151882e-15,6.311003712994229e-15
55,15,1.1597984227439132e-16,-5.88383991640601e-16
55,16,-1.667985752758524e-15,3.94268015755454e-15
55,17,6.413134126768293e-17,5.580997431026227e-16
55,18,2.30197636946416e-15,3.738194061163747e-15
55,19,-4.156328191175687e-15,6.8648636859092184e-15
55,20,-1.5893647867617955e-17,-4.514440681178473e-15
55,21,5.1854167281637136e-15,6.3681535784158514e-15
55,22,-6.306695632156281e-15,2.0814596611950467e-15
55,23,9.730744774367184e-16,-3.179052272638638e-15
55,24,-8.185183314514288e-17,3.2216944114264756e-15
55,25,-1.7432623055662497e-15,1.6437300195345184e-15
55,26,6.74526763951551e-16,3.1918229567419304e-15
55,27,-4.389557063828193e-15,-1.429092712300288e-15
55,28,2.578283555705633e-15,-3.1353052569806685e-15
55,29,-2.2805164173452043e-15,5.6935972613051236e-15
55,30,-5.198407887469649e-15,-2.078318979853361e-15
55,31,1.8087030773657294e-15,-2.105198074185335e-15
55,32,-1.1848485779724198e-15,4.974550521067566e-15
55,33,-4.51989057488785e-15,-6.150278303786524e-16
55,34,9.469578802527194e-16,1.3042793539125701e-15
55,35,-2.149643831824653e-15,-1.053738870048946e-15
55,36,4.788507647002054e-16,3.1747661854721916e-16
55,37,-4.772915571004352e-15,6.607733258710269e-16
55,38,3.228437071078975e-16,-8.793318490301898e-16
55,39,6.805639092314817e-16,1.9575129643002733e-15
55,40,-1.6665600873998442e-15,-2.630539478428923e-16
55,41,2.2043091854788074e-16,-1.966422713352342e-15
55,42,-5.461513365375079e-16,5.274178098926362e-16
55,43,5.21031537554832e-17,-6.472137617604616e-16
55,44,9.113569927678096e-18,1.5227389178939332e-15
55,45,-1.238718684819058e-15,-1.0057873887772342e-15
55,46,1.4005211245548392e-15,-4.64832113711043e-16
55,47,-6.691098751407801e-16,7.768606215392094e-16
55,48,8.876943487981953e-16,-1.2663749189763828e-15
55,49,-2.7745402445369e-16,-6.69424601695755e-16
55,50,1.2859383337197723e-15,-8.974879555052576e-16
55,51,3.289043598006926e-16,2.2847250967867306e-15
55,52,-4.726207065137235e-16,-1.7758890614446717e-15
55,53,2.79083658000094e-15,-2.513841115732621e-15
55,54,5.049494291510903e-16,1.415735598425539e-15
55,55,-1.5623929233578839e-15,-9.759317832102394e-16
56,0,7.625782725208106e-15,0.0
56,1,6.13237449315805e-14,4.60359251462184e-15
56,2,-4.683293801985735e-15,-1.7972432635184912e-14
56,3,2.060081710546099e-14,-2.0168611726468393e-14
56,4,-1.582776079737849e-16,8.473181188594585e-15
56,5,5.402217181039463e-15,4.6764779002895334e-15
56,6,-2.02009979888539e-15,-1.7101771239665648e-15
56,7,2.2989795338885587e-15,1.4082989064764425e-15
56,8,3.379795578163228e-15,1.0783445470134534e-14
56,9,-4.554361109418286e-15,1.0093052609423932e-15
56,10,1.2926256897511314e-14,-4.350787686247918e-15
56,11,1.1259798569100547e-15,1.1962797937886821e-14
56,12,-2.2470736174432712e-15,-3.745635116939098e-15
56,13,7.321570497916759e-15,-6.088139034659782e-17
56,14,-1.2776851700634768e-15,6.2018585387180604e-15
56,15,1.1397403770300482e-16,-5.782082293958894e-16
56,16,-1.639138899872009e-15,3.874493775089664e-15
56,17,6.302222665809815e-17,5.484477294935988e-16
56,18,2.2621650140204185e-15,3.673544147958375e-15
56,19,-4.084446889023895e-15,6.746139822407447e-15
56,20,-1.561877638198985e-17,-4.436366029773637e-15
56,21,5.095737932487413e-15,6.258020030133746e-15
56,22,-6.197624963656886e-15,2.0454620152101162e-15
56,23,9.562457148098093e-16,-3.1240723946176867e-15
56,24,-8.04362528349846e-17,3.1659770621757225e-15
56,25,-1.713113588055857e-15,1.6153026555835714e-15
56,26,6.62861212075255e-16,3.136622217094926e-15
56,27,-4.3136422026563866e-15,-1.4043773769536046e-15
56,28,2.533693626620112e-15,-3.081081958398614e-15
56,29,-2.2410761994131013e-15,5.59512977600418e-15
56,30,-5.108504417175652e-15,-2.042375650143301e-15
56,31,1.777422599398895e-15,-2.0687898860203185e-15
56,32,-1.1643573042519811e-15,4.888518534990676e-15
56,33,-4.441721670710278e-15,-6.043912782889812e-16
56,34,9.305807891317673e-16,1.2817225937106252e-15
56,35,-2.112466979880626e-15,-1.0355150632119669e-15
56,36,4.705693165277271e-16,3.1198604328601326e-16
56,37,-4.690370745253402e-15,6.493456317847847e-16
56,38,3.172603111413092e-16,-8.641243111687597e-16
56,39,6.687939484047754e-16,1.9236589050487307e-15
56,40,-1.637737890574569e-15,-2.585045813257674e-16
56,41,2.16618692772886e-16,-1.93241456512268e-15
56,42,-5.367059637381205e-16,5.182964226466486e-16
56,43,5.1202059721063416e-17,-6.360205725256283e-16
56,44,8.955955984909152e-18,1.496404025358783e-15
56,45,-1.2172957586281976e-15,-9.883928751903012e-16
56,46,1.3762999183618756e-15,-4.567931100331192e-16
56,47,-6.575380052365083e-16,7.63425264537025e-16
56,48,8.72342186319815e-16,-1.2444736941448943e-15
56,49,-2.7265561690557356e-16,-6.578472887769875e-16
56,50,1.2636987708982097e-15,-8.819664182396887e-16
56,51,3.2321614833652813e-16,2.245212092167753e-15
56,52,-4.644470036092624e-16,-1.7451760829833489e-15
56,53,2.742570668784103e-15,-2.470365681529611e-15
56,54,4.962166196089454e-16,1.3912512666700409e-15
56,55,-1.5353722376376972e-15,-9.590536051256957e-16
56,56,2.6591950166054353e-15,-1.483982895702881e-15
57,0,7.49616200742106e-15,0.0
57,1,6.028138270833682e-14,4.5253420598623816e-15
57,2,-4.603688609168699e-15,-1.766694273303347e-14
57,3,2.0250650729571144e-14,-1.982579184515821e-14
57,4,-1.5558725369875947e-16,8.329156651418258e-15
57,5,5.3103919489445194e-15,4.596988562080747e-15
57,6,-1.9857627615780693e-15,-1.6811080573094784e-15
57,7,2.2599021843103576e-15,1.3843610732474992e-15
57,8,3.3223468486883075e-15,1.060015176869772e-14
57,9,-4.476947474997159e-15,9.921493994257612e-16
57,10,1.2706540344111945e-14,-4.2768343304873e-15
57,11,1.1068407963669347e-15,1.1759457964624211e-14
57,12,-2.2088785487258654e-15,-3.681967959098227e-15
57,13,7.197120686341184e-15,-5.984654713102693e-17
57,14,-1.2559674690985608e-15,6.0964412478811495e-15
57,15,1.120367419382939e-16,-5.683800231086946e-16
57,16,-1.6112773191779065e-15,3.808636317267213e-15
57,17,6.195099416297908e-17,5.391253830634235e-16
57,18,2.2237134263688616e-15,3.611102370315442e-15
57,19,-4.0150207125124346e-15,6.631471005109303e-15
57,20,-1.5353293207535304e-17,-4.360958039555868e-15
57,21,5.009122140736584e-15,6.151648123476844e-15
57,22,-6.0922796338314546e-15,2.010693878722142e-15
57,23,9.399917431978589e-16,-3.0709703694484618e-15
57,24,-7.906902205956456e-17,3.1121627543093333e-15
57,25,-1.6839946082820814e-15,1.587846236065095e-15
57,26,6.515941003309925e-16,3.0833068738892166e-15
57,27,-4.240320234442355e-15,-1.3805062006817095e-15
57,28,2.4906266788234844e-15,-3.028710671489512e-15
57,29,-2.20298307296942e-15,5.50002547473948e-15
57,30,-5.021671624630473e-15,-2.0076599747428936e-15
57,31,1.7472105147582703e-15,-2.0336252295333063e-15
57,32,-1.1445659156199882e-15,4.805424995054619e-15
57,33,-4.3662226469491425e-15,-5.941180205606855e-16
57,34,9.14763062061291e-16,1.2599362658558524e-15
57,35,-2.0765599135373363e-15,-1.0179136955085393e-15
57,36,4.62570723494745e-16,3.0668300013260765e-16
57,37,-4.610645260723483e-15,6.383082537323527e-16
57,38,3.1186761759923664e-16,-8.494361909446322e-16
57,39,6.574259938265135e-16,1.890961140499839e-15
57,40,-1.609900123807155e-15,-2.541105996729829e-16
57,41,2.1293667461749108e-16,-1.8995679745470863e-15
57,42,-5.275832002439082e-16,5.094865788901725e-16
57,43,5.033174280116476e-17,-6.252096897469231e-16
57,44,8.803725389694883e-18,1.470968608319526e-15
57,45,-1.1966045383720882e-15,-9.71592475997932e-16
57,46,1.3529059941265831e-15,-4.490286807363148e-16
57,47,-6.463613757307557e-16,7.504487958475955e-16
57,48,8.575143811722968e-16,-1.2233205116697462e-15
57,49,-2.680211002866902e-16,-6.466654021643961e-16
57,50,1.2422188064600722e-15,-8.669750233474118e-16
57,51,3.177222192990205e-16,2.2070486650865026e-15
57,52,-4.565524757750417e-16,-1.7155121147465784e-15
57,53,2.6959532930366457e-15,-2.4283751627363265e-15
57,54,4.877820815779897e-16,1.3676032039981547e-15
57,55,-1.5092744508682124e-15,-9.427519058546541e-16
57,56,2.6139948346426417e-15,-1.4587586092189702e-15
57,57,1.7885050475064182e-15,1.9806072610932635e-15
58,0,7.37089293770812e-15,0.0
58,1,5.927401484123267e-14,4.449718642250731e-15
58,2,-4.5267559349885396e-15,-1.7371708788163023e-14
58,3,1.9912240196892735e-14,-1.9494481169334148e-14
58,4,-1.5298722044030807e-16,8.189967329711555e-15
58,5,5.221649488656602e-15,4.5201678530188585e-15
58,6,-1.952578492939369e-15,-1.6530149021431942e-15
58,7,2.2221367459446263e-15,1.3612268848960684e-15
58,8,3.266826797415819e-15,1.0423011633577087e-14
58,9,-4.402132783853694e-15,9.755694973159515e-16
58,10,1.2494200151010323e-14,-4.205363748959564e-15
58,11,1.088344275514804e-15,1.1562944554415288e-14
58,12,-2.1719657711426402e-15,-3.62043824556049e-15
58,13,7.076848924325212e-15,-5.884644584223228e-17
58,14,-1.2349788783653386e-15,5.9945630436847065e-15
58,15,1.1016448538588956e-16,-5.588817709807713e-16
58,16,-1.5843511120570954e-15,3.7449898368594195e-15
58,17,6.09157252615192e-17,5.301160079821316e-16
58,18,2.1865527417473674e-15,3.550756898309931e-15
58,19,-3.947925323026896e-15,6.520651868220856e-15
58,20,-1.5096722877914105e-17,-4.288081658798421e-15
58,21,4.925414228604035e-15,6.0488473519798564e-15
58,22,-5.99047097475957e-15,1.9770929838354427e-15
58,23,9.242834525963928e-16,-3.0196510942092173e-15
58,24,-7.774769218079355e-17,3.060155109244881e-15
58,25,-1.6558532156904776e-15,1.5613115879822293e-15
58,26,6.407052499168611e-16,3.031781442161722e-15
58,27,-4.169459843414562e-15,-1.3574364314689924e-15
58,28,2.4490055816874338e-15,-2.9780976020452363e-15
58,29,-2.166168815237126e-15,5.408114030731733e-15
58,30,-4.937753996889962e-15,-1.974109779711494e-15
58,31,1.7180127151963406e-15,-1.999641126682247e-15
58,32,-1.1254389667449623e-15,4.725121085119127e-15
58,33,-4.2932582888414325e-15,-5.841896583319009e-16
58,34,8.994763703277433e-16,1.238881352186016e-15
58,35,-2.041858325135901e-15,-1.0009032438189709e-15
58,36,4.548406605436959e-16,3.0155799161686965e-16
58,37,-4.533596333283625e-15,6.276414243527338e-16
58,38,3.0665596845243715e-16,-8.352411827104459e-16
58,39,6.464396860906053e-16,1.859361110684685e-15
58,40,-1.5829969311279656e-15,-2.4986413349552854e-16
58,41,2.0937826978169742e-16,-1.8678241151170962e-15
58,42,-5.187667076674001e-16,5.009725006584567e-16
58,43,4.949064430416177e-17,-6.147617517044185e-16
58,44,8.656605505081466e-18,1.446387113287975e-15
58,45,-1.17660796716835e-15,-9.553561025727232e-16
58,46,1.330297454566537e-15,-4.415249201379473e-16
58,47,-6.35559969870529e-16,7.379079753010335e-16
58,48,8.431843775399613e-16,-1.2028774873186294e-15
58,49,-2.635421744226129e-16,-6.358589156897866e-16
58,50,1.221459970923818e-15,-8.524869220321565e-16
58,51,3.124127333515027e-16,2.1701664668612157e-15
58,52,-4.489229843287709e-16,-1.6868440301343685e-15
58,53,2.6509009635013583e-15,-2.387794356551931e-15
58,54,4.796307092461986e-16,1.3447490579789411e-15
58,55,-1.484052823292048e-15,-9.269974899149242e-16
58,56,2.5703121206289988e-15,-1.4343811566330076e-15
58,57,1.7586171711163104e-15,1.9475091465089976e-15
58,58,-1.8534932574047215e-16,-6.931319772716573e-17
59,0,7.249758864241989e-15,0.0
59,1,5.829989909581484e-14,4.376591471707182e-15
59,2,-4.452362725017069e-15,-1.7086220195890526e-14
59,3,1.9585000229188676e-14,-1.9174106699903242e-14
59,4,-1.5047301146226288e-16,8.05537249668567e-15
59,5,5.135836320819437e-15,4.445882912318433e-15
59,6,-1.9204896010492026e-15,-1.6258490715865663e-15
59,7,2.1856179037758585e-15,1.3388563310333846e-15
59,8,3.213139402873043e-15,1.02517187023637e-14
59,9,-4.329787644593971e-15,9.595368798084269e-16
59,10,1.2288869077586317e-14,-4.136252333880908e-15
59,11,1.0704583047727506e-15,1.1372917838930953e-14
59,12,-2.136271444347911e-15,-3.560939561191635e-15
59,13,6.960547202844168e-15,-5.787935681324821e-17
59,14,-1.2146830982685048e-15,5.8960477286112455e-15
59,15,1.0835402999346022e-16,-5.496970458630684e-16
59,16,-1.558313709855491e-15,3.68344425780111e-15
59,17,5.991462946465555e-17,5.21404022609509e-16
59,18,2.150618691057065e-15,3.4924033649435936e-15
59,19,-3.883044679642183e-15,6.413490750954956e-15
59,20,-1.484862165684825e-17,-4.217610848399271e-15
59,21,4.84446942394318e-15,5.949439922552728e-15
59,22,-5.8920229092014654e-15,1.944601218078258e-15
59,23,9.090936756458196e-16,-2.9700258126348848e-15
59,24,-7.646997796949762e-17,3.0098641801873375e-15
59,25,-1.6286407399736685e-15,1.53565281987903e-15
59,26,6.3017582865549385e-16,2.9819568091014206e-15
59,27,-4.1009384771086625e-15,-1.33512817033906e-15
59,28,2.4087583518662753e-15,-2.9291552151778417e-15
59,29,-2.1305697562598068e-15,5.319236483893348e-15
59,30,-4.856606399106113e-15,-1.9416670402623254e-15
59,31,1.6897787033585493e-15,-1.9667788022403537e-15
59,32,-1.1069433777259035e-15,4.64746792023146e-15
59,33,-4.222702405129017e-15,-5.74589020581689e-16
59,34,8.846942757233127e-16,1.2185214384008372e-15
59,35,-2.0083021985641654e-15,-9.844542887067622e-16
59,36,4.473657585941886e-16,2.9660215407866015e-16
59,37,-4.4590907074465846e-15,6.173266954521168e-16
59,38,3.0161635019651173e-16,-8.215147363160359e-16
59,39,6.35816024468046e-16,1.8288041636112164e-15
59,40,-1.556981783686204e-15,-2.457578385650245e-16
59,41,2.0593732403356477e-16,-1.8371280860885214e-15
59,42,-5.102412379570904e-16,4.927394629231205e-16
59,43,4.867730955711135e-17,-6.046586887750733e-16
59,44,8.514341888436681e-18,1.4226170267703472e-15
59,45,-1.1572714611113073e-15,-9.396556742401764e-16
59,46,1.3084351983982391e-15,-4.342688505456859e-16
59,47,-6.251151067130989e-16,7.257811136511947e-16
59,48,8.293273917992107e-16,-1.1831092650488162e-15
59,49,-2.5921109304784267e-16,-6.254091396235491e-16
59,50,1.2013863620538686e-15,-8.384770572416812e-16
59,51,3.072785077816326e-16,2.134501710032955e-15
59,52,-4.415453341276509e-16,-1.6591222479298182e-15
59,53,2.6073357625443003e-15,-2.348553078805396e-15
59,54,4.717484048820672e-16,1.3226493025545484e-15
59,55,-1.4596637343114426e-15,-9.117631101735207e-16
59,56,2.528071325669362e-15,-1.4108083773409448e-15
59,57,1.7297158611386562e-15,1.9155035648212873e-15
59,58,-1.823032743283992e-16,-6.81740969348178e-17
59,59,8.847262994687358e-16,-3.296933571490288e-16
60,0,7.132557350795732e-15,0.0
60,1,5.735740755426921e-14,4.30583833993751e-15
60,2,-4.380384655186706e-15,-1.6809999854837328e-14
60,3,1.9268383951228347e-14,-1.8864133035083477e-14
60,4,-1.4804042508160715e-16,7.925147220829735e-15
60,5,5.0528090366181394e-15,4.37400959684878e-15
60,6,-1.8894424597558627e-15,-1.5995651667845737e-15
60,7,2.150284628430493e-15,1.3172120265506282e-15
60,8,3.16119494403208e-15,1.0085986714604966e-14
60,9,-4.259791155834841e-15,9.440247535947222e-16
60,10,1.209020397969735e-14,-4.06938458798697e-15
60,11,1.0531529935548445e-15,1.1189060250287967e-14
60,12,-2.1017359168775395e-15,-3.5033724732818845e-15
60,13,6.848021161376616e-15,-5.69436638691329e-17
60,14,-1.195046211009146e-15,5.8007306663358434e-15
60,15,1.0660235017333941e-16,-5.408104984732161e-16
60,16,-1.5331215995192513e-15,3.6238967266634175e-15
60,17,5.894603376618834e-17,5.129748676939971e-16
60,18,2.115851222213251e-15,3.4359442512543015e-15
60,19,-3.820270355453528e-15,6.3098085683387916e-15
60,20,-1.4608574923796606e-17,-4.1494278393066745e-15
60,21,4.766152453825634e-15,5.853259707991388e-15
60,22,-5.7967709132179225e-15,1.913164282026174e-15
60,23,8.943970275716838e-16,-2.9220115921989265e-15
60,24,-7.523374414171719e-17,2.9612059221967774e-15
60,25,-1.6023117043244113e-15,1.5108270514654688e-15
60,26,6.199882400420351e-16,2.933749709030569e-15
60,27,-4.034641624335011e-15,-1.313544136285145e-15
60,28,2.369817729198468e-15,-2.8818017195973047e-15
60,29,-2.0961264037825126e-15,5.233244304296071e-15
60,30,-4.778093219447754e-15,-1.91027753890251e-15
60,31,1.6624612952720966e-15,-1.934983337514826e-15
60,32,-1.0890482391980992e-15,4.572335728369102e-15
60,33,-4.154437084587764e-15,-5.653000629649148e-16
60,34,8.703920747820606e-16,1.1988224995227894e-15
60,35,-1.9758354556646033e-15,-9.685393410904796e-16
60,36,4.4013352577746943e-16,2.918072054465206e-16
60,37,-4.387003871278204e-15,6.073468293141374e-16
60,38,2.9674034074776663e-16,-8.082339124682886e-16
60,39,6.25537254961851e-16,1.799239233275501e-15
60,40,-1.531811205619625e-15,-2.4178485254432143e-16
60,41,2.0260808695081806e-16,-1.807428589027151e-15
60,42,-5.019925435617196e-16,4.847737068378905e-16
60,43,4.789037933537329e-17,-5.948836169733883e-16
60,44,8.376696792370721e-18,1.3996186247939344e-15
60,45,-1.1385627055167737e-15,-9.244649528380477e-16
60,46,1.2872826899672349e-15,-4.272483457979266e-16
60,47,-6.150093310649934e-16,7.140479447908917e-16
60,48,8.159202665028486e-16,-1.163982808702808e-15
60,49,-2.550206181677596e-16,-6.152986105618814e-16
60,50,1.1819644333382948e-15,-8.249220160411538e-16
60,51,3.0231096240034493e-16,2.0999947925541706e-15
