n,m,r,q
9,9,-2.5781153649940782e-14,5.713436722933242e-15
10,0,3.919349821729468e-14,0.0
10,1,3.1517972308713314e-13,2.3660639375226665e-14
10,2,-2.407027237642494e-14,-9.237117445256686e-14
10,3,1.0588002800403218e-13,-1.0365866380294431e-13
10,4,-8.134841195319939e-16,4.35487901736584e-14
10,5,2.7765253362726878e-14,2.403524134543368e-14
10,6,-1.0382511634464542e-14,-8.789632025296464e-15
10,7,1.1815842846558316e-14,7.238097736242048e-15
10,8,1.7370808576761012e-14,5.542263214671888e-14
10,9,-2.340760948156054e-14,5.187428670723411e-15
10,10,6.643583287446432e-14,-2.2361322839831096e-14
11,0,3.5890499873080646e-14,0.0
11,1,2.886182230721315e-13,2.166665934705623e-14
11,2,-2.2041770879484555e-14,-8.458667319221995e-14
11,3,9.695707973226156e-14,-9.492291908818744e-14
11,4,-7.449284451963731e-16,3.987875334666636e-14
11,5,2.5425360521946913e-14,2.2009692058492996e-14
11,6,-9.507534398513531e-15,-8.048893348058561e-15
11,7,1.0820072855798627e-14,6.628113276433931e-15
11,8,1.5906898628008776e-14,5.0751937502477654e-14
11,9,-2.143495332999796e-14,4.750262582227456e-15
11,10,6.083701021351576e-14,-2.047684159488302e-14
11,11,5.299387796341765e-15,5.630252176634096e-14
12,0,3.3103050750809195e-14,0.0
12,1,2.662025806202588e-13,1.9983910129489473e-14
12,2,-2.032988848418222e-14,-7.801721752068275e-14
12,3,8.942687180109805e-14,-8.755069500572859e-14
12,4,-6.870732983452397e-16,3.678155502380825e-14
12,5,2.3450690369094215e-14,2.0300301076844205e-14
12,6,-8.76912817659352e-15,-7.423773029934206e-15
12,7,9.979727842732077e-15,6.113338374996326e-15
12,8,1.4671483385103217e-14,4.681026925753455e-14
12,9,-1.9770199647075694e-14,4.381331658662355e-15
12,10,5.611208101718335e-14,-1.8886500018911853e-14
12,11,4.887808857242945e-15,5.192976531451546e-14
12,12,-9.754407472578374e-15,-1.6259570176340736e-14
13,0,3.071967086979964e-14,0.0
13,1,2.470363146558555e-13,1.85450926106732e-14
13,2,-1.8866160939518277e-14,-7.24000715962517e-14
13,3,8.298824447708477e-14,-8.124715015677062e-14
13,4,-6.376048463774133e-16,3.4133327254835996e-14
13,5,2.1762268838334922e-14,1.883870378995957e-14
13,6,-8.137761483915621e-15,-6.889270291382411e-15
