Latitude	Longitude	Geoidal_height
61.998614462	5.515088363	43.399432298
61.909794083	5.253240469	43.675918474
61.915885113	5.627283957	43.258653110
61.926442108	5.459367279	43.448653774
61.768331197	5.282544254	43.618253343
61.750306557	5.940484124	42.878197594
61.773260748	6.196189668	42.593722091
61.869329407	5.728781243	43.136508382
61.925505367	5.517307164	43.383629215
61.914298881	5.948789100	42.896971108
61.917235491	5.770830883	43.097734346
61.943049916	5.455864674	43.455578105
61.830701057	5.449035108	43.443198654
61.948332507	6.134278597	42.693751876
61.844167436	6.019249285	42.805345131
61.921302740	5.896933988	42.956611508
61.611829465	5.287899642	43.586074005
61.641184408	5.288461333	43.590246854
61.508457974	5.220382677	43.644702376
61.591019873	5.432754791	43.421248004
61.514586307	6.166103676	42.587101526
61.363869629	5.379283521	43.446223021
61.340438723	6.093340199	42.644397084
61.490820360	5.506775768	43.323004959
61.491186974	5.802561811	42.992218739
61.425534594	6.094499634	42.654851584
61.520034817	5.724274250	43.084283074
61.568537837	5.640485245	43.185566407
61.371610124	5.475397843	43.340325779
61.361892313	5.564138746	43.239990884
61.352969744	5.710242552	43.075561484
61.446160037	5.822398068	42.963340618
61.455411694	5.870345725	42.910930923
61.338984457	6.093472705	42.644052112
61.464332155	5.562358514	43.256950727
61.459619424	5.246880538	43.607700312
61.508011776	5.712019780	43.096180620
61.591052260	5.432719360	43.421292715
61.666992143	5.781711953	43.042963434
61.411133844	5.817149055	42.964159261
61.360219230	5.663779558	43.128508774
61.370308335	5.791323486	42.987288198
61.432290455	5.899154916	42.875261365
61.630245279	5.714915102	43.111966336
61.489434111	5.392111431	43.450657374
61.535405396	5.760407798	43.046146479
61.184457843	5.312284275	43.495788125
61.066237553	5.280882257	43.515439486
61.188692597	5.815699561	42.935792336
61.165512199	6.205133628	42.496515166
61.042845551	5.324322222	43.464474831
61.102181078	5.347810546	43.445775987
61.030103403	5.486795569	43.282810786
61.208834754	5.818434589	42.935291833
61.140816462	5.638876757	43.127110772
61.159869828	5.880277217	42.860001148
61.137075489	5.340105469	43.458752334
61.168169451	5.967111986	42.763840557
61.074632027	5.424810167	43.356955561
61.064963127	5.520951637	43.249030156
61.083656231	5.610073745	43.152176370
61.118512503	5.568248173	43.202977746
61.098760498	5.493938567	43.283161475
61.032927562	5.365290364	43.417897551
61.324536937	5.784691649	42.988356223
61.322386098	5.793069326	42.978687815
61.229739781	6.081283364	42.643489865
61.064215067	5.566622633	43.198177189
61.056546353	5.509800728	43.260408326
61.027540011	5.461423741	43.310665793
61.164648669	5.738231005	43.019295267
61.324556308	5.784661637	42.988392458
61.113300287	5.284105205	43.517781171
61.232424628	5.822178863	42.934139483
60.978336560	5.486806206	43.276800327
60.933920480	5.497229466	43.260271169
60.877690443	5.593381960	43.147612745
60.728419090	5.648010450	43.072573735
60.834501443	5.607889576	43.127121502
60.832454893	5.524191440	43.219682739
60.513348870	5.246594975	43.497073309
60.459256482	5.274780569	43.462070629
60.470683878	5.356780263	43.372926011
60.492723063	5.262427976	43.478112250
60.501073667	5.262553936	43.478613387
60.453680283	5.460433112	43.257827602
60.521538157	5.318704035	43.418557690
60.385954100	5.219373145	43.517605383
60.368618275	6.105473616	42.540523060
60.380009700	6.202433004	42.433443260
60.346439806	6.208694455	42.424977438
60.614176931	5.836730654	42.853855304
60.555814327	5.748454171	42.947312637
