Latitude	Longitude	Geoidal_height
61.172073779	6.632271288	41.463578534
60.756707936	6.496444809	41.443555394
60.973555113	6.505992794	41.533873354
60.691649556	6.466981325	41.453125555
60.876049588	7.144223948	40.630827735
60.805658621	6.670694064	41.233216774
60.835151996	6.682553377	41.231088796
60.860453166	7.110138312	40.669386814
60.975440713	6.513695456	41.524472428
60.903271942	7.172530411	40.605467043
60.907076708	7.192203456	40.580796498
60.793115084	6.516096081	41.434177488
60.837728501	6.679683439	41.236138578
60.903167597	7.173007198	40.604777293
60.929276594	6.443263380	41.596339319
60.752604724	7.106612776	40.625011574
60.812116745	7.120654817	40.633062854
60.669607934	6.805631815	40.991007759
60.680462051	6.581844004	41.294788178
60.588119575	6.635302164	41.182631867
60.482692145	6.994687499	40.658839621
60.458126688	7.082605672	40.531602591
60.414595327	6.373013926	41.457533551
60.567456078	6.913675087	40.802343133
60.515569699	6.914661687	40.779167908
60.601461790	6.558732996	41.290533789
60.626188655	6.398884318	41.514459084
60.373443790	6.248445848	41.605504737
60.525547322	6.720610201	41.042054769
60.489702825	6.648906931	41.122408735
60.577539532	6.782407796	40.981851712
60.557295280	6.913616574	40.798108781
60.406393540	6.732283675	40.977094981
60.376458210	6.709039291	40.995900193
60.335495997	6.655474067	41.050654669
60.471018303	6.835254716	40.866515818
60.630055724	6.424795858	41.481667164
60.429579163	6.432564606	41.384770161
60.088478945	6.536457257	41.114392683
60.251421967	6.620221099	41.064519222
60.272550399	6.237535960	41.578885895
60.013187105	6.558553155	41.058599290
59.737819579	6.653007208	40.845928701
59.787750265	6.758006014	40.723560430
59.849534625	7.125337928	40.260313655
59.840585216	6.983842073	40.443462787
59.824001575	6.233419431	41.420849702
59.832714029	6.812159749	40.666303737
59.678867472	6.499284371	41.029087696
59.873077747	6.376406611	41.250081714
59.722557342	6.561589669	40.960743028
59.818890197	7.208074500	40.142605412
59.837395690	6.861613257	40.602884914
59.911390867	6.549802912	41.035533099
59.992966320	6.566447911	41.041216363
59.350448305	6.233463318	41.285127361
59.450892240	6.243346498	41.297785200
59.656196852	6.399902070	41.151821283
59.641719057	6.330339176	41.238026027
59.431636974	6.442165549	41.036206843
59.458627165	6.412415973	41.081453308
59.354298419	6.227193783	41.294128725
59.647911265	6.796840197	40.632557277
59.311059652	6.339939632	41.138918803
59.241508343	6.292835410	41.183649519
59.129915101	6.249766525	41.215190924
59.041606677	7.161717747	40.036011546
59.012302237	6.939738205	40.315257563
58.907665997	6.760457277	40.529033301
58.842140631	6.776790756	40.500386279
58.913582929	6.736801780	40.559794479
58.877372128	6.826120951	40.442072451
58.697853373	6.728543743	40.546709806
58.754704389	6.744361269	40.532043652
58.807304758	6.273086401	41.131284783
58.838255077	6.255020514	41.158333425
58.684824170	6.748036382	40.521145785
58.812644819	6.770486594	40.505068350
58.908698770	6.855760313	40.408308131
58.588225436	6.720997214	40.547985279
58.489503309	6.781924324	40.467110279
58.480163706	7.206636772	39.938361472
58.490483615	7.188420680	39.961163438
58.638688799	6.516489313	40.807293572
58.656654722	6.586549276	40.721187872
58.442364532	6.603236546	40.687074985
58.403658450	6.623779000	40.660353805
58.458889574	6.550327389	40.753326966
58.543342950	6.308093740	41.059191112
58.504600045	7.039761602	40.146666383
58.500527660	7.147927177	40.011777624
58.381838298	6.954592195	40.250781066
58.352557605	7.038353453	40.147283038
58.543612620	6.735436445	40.527402467
58.389442027	6.953471666	40.252192383
58.340922284	6.292853886	41.066354503
58.448006481	6.281057351	41.086080636
58.628791803	6.487895392	40.842179981
58.612832242	6.434264300	40.907780541
58.600371943	6.361346780	40.997650390
58.575739911	6.290517084	41.083725610
58.515706751	6.920479024	40.295616520
58.667389731	6.649463939	40.643301281
58.383910864	6.834474756	40.399406651
58.112758705	6.944761717	40.270423917
58.100966161	6.698645468	40.570807728
58.272458406	6.729438339	40.528726764
58.277741850	6.640471481	40.638001403
58.285849430	6.653618206	40.621849374
58.307315725	6.968937408	40.233556880
58.108907061	7.056425872	40.134475426
58.273372977	6.665565030	40.607187211
58.155572307	7.113490482	40.061771516
58.331407153	7.208183563	39.937719817
63.010692059	7.310452092	41.626116113
63.018746718	7.363905973	41.559007256
63.057599808	7.639069043	41.211703870
63.010784941	7.586343038	41.252966099
63.014632861	7.443146302	41.449214405
63.072430790	7.892056163	40.878653902
63.108827844	7.659560285	41.217009905
63.127138949	7.807412232	41.028739932
63.106341558	7.822234786	40.995196908
63.209402422	8.167788383	40.594260096
63.012586822	7.982738499	40.716987889
63.226324977	8.114175802	40.677949503
63.199905775	8.025357696	40.780960167
63.154215826	7.957231913	40.843449320
62.974232445	8.060786467	40.586306715
62.795733840	7.640935403	41.041527790
62.786705298	7.576785920	41.122793469
62.892696149	7.376588395	41.461399787
62.948116794	7.414799881	41.445018632
62.967204163	7.336202930	41.563529438
62.872048229	7.892260975	40.749236474
62.675229958	7.545866444	41.094259084
62.839703693	7.238791240	41.614222891
